snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
369,cloud-4,4.2375,138.40267725204086,213.2415643932874,29.088337331501094,6909.548133136905
369,cloud-5,4.2375,132.84782597984147,215.84670617015098,27.365374032781226,8287.311590145924
368,cloud-0,4.2250000000000005,228.386197348666,181.412549360004,69.51723963338847,45597.14540535217
368,cloud-1,4.2250000000000005,210.10561720103573,212.68803013693437,64.29760632545454,22039.274617190567
368,cloud-2,4.2250000000000005,134.97672727295387,214.84789213977598,28.477422706793774,6151.783562208844
368,cloud-3,4.2250000000000005,105.8853677413716,204.73098483221366,36.829309921112085,21438.034996898754
368,cloud-4,4.2250000000000005,138.42994329172421,213.2833494484417,29.165805417878275,5976.424588109621
368,cloud-5,4.2250000000000005,132.8363439462297,215.87427187163604,27.40269131398999,7871.758785128569
367,cloud-0,4.2125,228.400725999081,181.45621749388724,69.50523058902918,45142.58508738846
367,cloud-1,4.2125,210.09746662035994,212.71136613164666,64.3034957392137,18878.437215880305
367,cloud-2,4.2125,134.93867038635014,214.83770385532503,28.478277659751637,5922.35507224281
367,cloud-3,4.2125,105.89109242221106,204.72940086967307,36.82422523576581,22818.813180003177
367,cloud-4,4.2125,138.40718486541633,213.29831695156264,29.171967917022922,5685.099731131279
367,cloud-5,4.2125,132.81642844421532,215.87934235994697,27.427568096132113,6780.544558121793
366,cloud-0,4.2,228.41002784608688,181.50087440643887,69.49273249600472,44613.394965371466
366,cloud-1,4.2,210.09180706368514,212.74472174344413,64.30068173740172,16469.69945917632
366,cloud-2,4.2,134.8878824367646,214.8742947590275,28.54816764349937,5990.995693331101
366,cloud-3,4.2,105.90275808117396,204.73575005387863,36.83006181430872,25188.730696811363
366,cloud-4,4.2,138.38154505041143,213.31392723066062,29.18256181168249,5605.152892004606
366,cloud-5,4.2,133.1398068150126,215.9322195150548,27.856571641747337,7036.6735828909705
365,cloud-0,4.1875,228.41873001014318,181.5437816343003,69.47189209279075,43299.9196176131
365,cloud-1,4.1875,210.13876350018683,212.86128910596585,64.09883955752356,14457.07150366838
365,cloud-2,4.1875,134.85187054284606,214.8959254765299,28.579460082120377,5425.436835433967
365,cloud-3,4.1875,105.91204575979648,204.73360009140444,36.82884941101639,29314.216040592204
365,cloud-4,4.1875,138.33348307501288,213.30723162532195,29.13771679866302,5245.450676053218
365,cloud-5,4.1875,133.1169821397781,215.9476273375185,27.892582467032696,7220.6593350978255
364,cloud-0,4.175,228.43836556479442,181.59076778705793,69.45734874723075,40384.447434819114
364,cloud-1,4.175,210.13574179209834,212.88699188909618,64.0934024437651,13777.485128849235
364,cloud-2,4.175,134.726469040679,214.99850197955226,28.698509126472416,5068.498231056289
364,cloud-3,4.175,105.92182574948892,204.7368238015191,36.82832671063069,32056.469423311784
364,cloud-4,4.175,138.18305865650078,214.25919209854882,28.219179130192927,5266.526819525544
364,cloud-5,4.175,133.0944921266319,215.96336100186517,27.92872891411568,7129.946393671772
363,cloud-0,4.1625000000000005,228.45171820529148,181.6322170164884,69.44408058901837,34595.94368876733
363,cloud-1,4.1625000000000005,210.14191331442362,212.92367118583954,64.09264481616404,14060.601117472468
363,cloud-2,4.1625000000000005,134.691236640382,215.0199342911758,28.729898376151255,5215.050292911403
363,cloud-3,4.1625000000000005,105.93080102524485,204.73344451745766,36.824622563984235,30515.5464097696
363,cloud-4,4.1625000000000005,138.1660365045888,214.2700330340375,28.242598485740984,5420.652104592671
363,cloud-5,4.1625000000000005,133.07710438778275,215.98437619548423,27.952020726601518,6872.50412499364
362,cloud-0,4.15,228.15153927539149,182.00274744074193,69.31151488834311,31640.22356641946
362,cloud-1,4.15,210.14206522490093,212.9493077786392,64.08761590964333,14281.843355970092
362,cloud-2,4.15,133.10384035810029,215.98971280706564,27.99858262906988,5301.818934138336
362,cloud-3,4.15,105.93907545870545,204.73136701743144,36.82010214362325,27773.54603054178
362,cloud-4,4.15,138.13737974873592,214.28516622167268,28.236303728039594,5467.042534963405
362,cloud-5,4.15,133.05531315026064,215.99842537391459,27.98799650538774,6867.901679283211
361,cloud-0,4.1375,228.16545629872766,182.03979061431906,69.29736979134704,31745.472788549792
361,cloud-1,4.1375,210.14265253771117,212.97353384201233,64.08313901133822,13361.356788254236
361,cloud-2,4.1375,133.03362521483407,216.01079000526494,28.022532927521915,6647.923299853097
361,cloud-3,4.1375,105.949393911398,204.72354674934434,36.81603306151534,20526.641151837473
361,cloud-4,4.1375,138.1344111555323,214.35146515728837,28.144325410366477,5419.472806772489
361,cloud-5,4.1375,131.58282359525197,214.7983531113054,27.48072430300443,1580.987930848207
360,cloud-0,4.125,228.16661241763092,182.10917440541004,69.28342192982535,31618.526453283903
360,cloud-1,4.125,210.1005060349838,212.9312462667063,64.10837865457975,14656.074519114938
360,cloud-2,4.125,132.992953752464,216.02458363793028,28.057188164482966,6306.3479351458445
360,cloud-3,4.125,105.97613472729685,204.7243472421547,36.800377431543595,20325.592191597607
360,cloud-4,4.125,138.11655267652026,214.365388098072,28.1682380243426,5650.503120018407
360,cloud-5,4.125,130.54168364164173,214.7262175133945,26.439345249969946,1781.3459302902272
359,cloud-0,4.1125,228.17617259134218,182.14323719445235,69.26948291886238,31398.661879307452
359,cloud-1,4.1125,210.02859885398567,212.90252050891507,64.12504553346903,14987.154796041877
359,cloud-2,4.1125,133.0987096795818,216.61875369178958,27.782735748486004,6624.785592021914
359,cloud-3,4.1125,105.98684395823504,204.71954660165704,36.79818197380678,16115.458433145228
359,cloud-4,4.1125,138.09219623040303,214.36674345409037,28.182056784185136,5801.6061851384175
359,cloud-5,4.1125,130.4796562401775,214.74318115869028,26.466136582560353,1672.5493754563367
358,cloud-0,4.1000000000000005,228.1907431290214,182.1973917234011,69.26121690640434,30347.490460388635
358,cloud-1,4.1000000000000005,210.02178510190762,212.9396491566996,64.121953467879,15911.91283247864
358,cloud-2,4.1000000000000005,133.08546296306588,216.63549601344323,27.82813719247588,7554.253512271924
358,cloud-3,4.1000000000000005,105.97079986391076,204.69450709779713,36.81327297277278,14371.756420010055
358,cloud-4,4.1000000000000005,138.0733978058876,214.38127665746302,28.207111691209263,6127.95208474837
358,cloud-5,4.1000000000000005,131.7475313429499,214.979686395096,27.498632330124906,1690.4018780282338
357,cloud-0,4.0875,228.19587265256402,182.25249939843644,69.24843445629877,29359.61319188677
357,cloud-1,4.0875,210.01759691095324,212.99264608994116,64.11449257385343,14461.379774443118
357,cloud-2,4.0875,133.07296214739222,216.65137282410663,27.874104634095488,7442.4278952761215
357,cloud-3,4.0875,105.98007692848421,204.68590275733922,36.80527221885927,11374.290398054998
357,cloud-4,4.0875,138.05392466708986,214.39619270451706,28.23296738668803,6415.267093229543
357,cloud-5,4.0875,131.5139256076438,214.96001386408454,27.73044666515605,1661.755094598929
